Date,Media count,Comments count,Like count,Media impressions,Media reach,Unique saves,New followers,Profile views,Profile impressions,Profile reach,Website clicks,DayWeek,Objective
05/02/2020,1,0,82,1980,1650,13,0,31,848,470,7,3,Sales
06/02/2020,1,1,67,2294,1938,8,3,33,1163,455,4,4,Sales
07/02/2020,1,3,87,2649,2246,15,6,92,3691,2892,16,5,Resonance
08/02/2020,1,0,57,2222,1941,8,13,93,6835,6093,9,6,Functional
09/02/2020,1,0,77,2352,2060,11,19,153,5221,3840,13,7,Experiental
11/02/2020,1,7,66,1889,1632,9,3,34,619,485,3,2,Functional
16/02/2020,1,1,81,1749,1505,0,0,8,460,418,0,7,Emotional
18/02/2020,1,3,79,1903,1615,6,1,22,591,471,7,2,Emotional
28/02/2020,1,2,57,2146,1885,0,1,20,543,459,2,5,Emotional
29/02/2020,1,0,60,3075,2598,4,0,20,537,420,1,6,Experiental
03/03/2020,1,2,82,2767,2376,4,11,63,1274,547,8,2,Resonance
06/03/2020,1,0,55,2256,1977,6,2,29,670,464,4,5,Experiental
19/03/2020,1,1,70,2146,1865,3,2,14,634,446,1,4,Resonance
28/03/2020,1,0,70,2147,1885,15,36,293,9666,7910,35,6,Functional
31/03/2020,1,0,66,1909,1686,13,3,62,3927,3407,11,2,Emotional
06/04/2020,1,2,106,2015,1796,6,17,110,10382,9390,7,1,Experiental
12/04/2020,1,0,42,1447,1309,0,1,9,522,465,0,7,Experiental
14/04/2020,1,1,76,1845,1650,4,10,178,4005,702,13,2,Resonance
18/04/2020,1,1,33,1401,1212,6,2,14,483,347,4,6,Educational
21/04/2020,1,1,53,1388,1225,10,16,85,763,381,11,2,Emotional
23/04/2020,1,0,46,1542,1320,7,5,45,863,397,8,4,Functional
25/04/2020,1,0,90,2147,1872,7,7,56,2662,1791,7,6,Resonance
28/04/2020,1,0,62,2063,1855,6,2,44,2475,2060,3,2,Resonance
29/04/2020,1,0,37,1660,1440,5,31,136,4216,2967,28,3,Functional
30/04/2020,1,2,54,1936,1673,0,16,59,3917,3299,9,4,Sales
02/05/2020,1,0,85,2105,1811,0,4,47,2332,1907,5,6,Functional
04/05/2020,1,0,79,1952,1707,4,4,70,676,409,10,1,Functional
07/05/2020,1,1,65,1720,1468,16,6,100,2892,2060,18,4,Sales
12/05/2020,1,1,82,2022,1775,12,4,84,1220,628,8,2,Functional
16/05/2020,1,1,52,1787,1599,3,3,19,819,411,2,6,Resonance
20/05/2020,1,0,119,2546,2199,49,5,59,919,484,6,3,Experiental
25/05/2020,1,0,53,2146,1811,5,6,125,6244,4025,6,1,Sales
27/05/2020,1,19,171,2716,2155,10,69,480,6424,3340,24,3,Experiental
30/05/2020,1,1,43,1482,1294,0,8,103,7065,4785,7,6,Sales
02/06/2020,1,0,58,1348,1196,0,16,88,976,529,8,2,Resonance
