City,Profile followers
Mexico City,1159
Monterrey,376
Guadalajara,175
Puebla,103
Querétaro,71
Toluca,42
León,37
Mérida,33
Chihuahua,29
San Luis Potosí,27
Cuernavaca,24
Durango,24
Zapopan,24
Culiacán,23
Cancún,21
Saltillo,20
Oaxaca de Juárez,19
Acapulco,16
Naucalpan,16
Xalapa,16
Aguascalientes,15
Colima,14
Torreón,14
Veracruz,14
Tijuana,13
Ciudad Obregón,12
Hermosillo,12
Mazatlán,12
Metepec,12
Mexicali,12
Pachuca,12
Morelia,11
Reynosa,10
Celaya,9
Cuautla,9
Ecatepec de Morelos,9
Ensenada,9
Tampico,9
Ciudad Victoria,8
Cuautitlán Izcalli,8
Playa del Carmen,8
Puerto Vallarta,8
San Francisco de Campeche,8
Zacatecas,8
Madrid,7
