Media ID,Media created,Day of week,Media type,Media caption,Comments count,Like count,Media impressions,Media reach,Unique saves
1.8093E+16,05/02/2020 11:18,3 Wednesday,IMAGE,"Cambiemos México, una playera a la vez.
¡Solo hoy: pide tu playera y recíbela en 2 semanas en tu domicilio!",0,59,1950,1673,9
1.80225E+16,06/02/2020 10:58,4 Thursday,IMAGE,"¿Tu también quieres una playera así? 
Nos vemos este domingo en @puntobazarmx ¡No te quedes sin la tuya!",1,72,2292,2009,9
1.78446E+16,07/02/2020 11:11,5 Friday,IMAGE,"Cambiemos México, una playera a la vez.

Este domingo 9 de Febrero en @puntobazarmx",3,109,1778,1639,0
1.7887E+16,08/02/2020 16:36,6 Saturday,IMAGE,"Todos nuestros productos son bordados a mano por artesanas mexicanas.

Visita mañana @puntobazarmx y conoce más de nuestro proyecto.",0,66,1889,1632,9
1.80935E+16,09/02/2020 10:50,7 Sunday,IMAGE,"¡Los esperamos hoy en @puntobazarmx en Nuevo León 80, Condesa!",0,87,2649,2246,15
1.78442E+16,11/02/2020 11:12,2 Tuesday,IMAGE,"En Xhindó todos nuestros productos son 100% mexicanos, artesanales, de calidad y principalmente hechos con cariño y dedicación.",7,106,2015,1796,6
1.78709E+16,16/02/2020 18:53,7 Sunday,IMAGE,"Mi nombre es Tomasa Chavarría. Me levanto a las 6 para prepararle de comer a mi familia. Raspo los magueyes, cuido mis burros y mis borregos. Hago los quehaceres y repetimos. He estado aquí en Saucillo mis 47 años. Comencé a bordar a los 8 años. En Actopan una mujer muda me enseñó a tejer.
​
Este proyecto me motiva para poder conseguir medicina para mi hijo Luis que se enferma muy seguido. El proceso comenzó siendo lento y muy difícil. Me daban nervios tantos diseños chiquitos, el estampado, intentar no quemar las playeras. Pero mi frase favorita es “querer es poder” y la intento seguir en ese proyecto.

Conoce más sobre las artesanas, sus vidas y su trabajo en nuestra página.",1,24,949,881,0
1.79159E+16,18/02/2020 15:11,2 Tuesday,IMAGE,"¿Un día normal?
​
De lunes a viernes me levanto a las 5:30 para prepararle el desayuno a mis hijos antes de que se vayan a la escuela: Michel a las 7:30 y Ramiro a las 8. Antes de que regresen ayudo con los animalitos por aquí, cuido a mi mamá y bordo.

Mi nombre es Reyna, mi abuela me sentaba a su lado y me enseñaba a bordar rosas. Bordar me recuerda a ella. El bordado es un reto. Ya me di cuenta de que cada vez puedo hacer más, le echo muchas ganas y me ayuda.

Conoce más sobre las artesanas, su vida, su comunidad y su trabajo en nuestra página.",3,65,1780,1556,2
1.79392E+16,28/02/2020 10:33,5 Friday,IMAGE,"Soy Antonia Bautista, tengo 34 años. Mis niños se llaman Adair de Jesus, de 5 años y Abril Iveth de 1 año y medio. Me encanta cocinar y los chiles rellenos son mi mejor platillo. A veces, le ayudo a mi esposo en el campo.
En mis ratos libres es cuando coso. Espero que les gusten las playeras, que valoren el esfuerzo que llevó hacerla y que vengan a conocer dónde empezó todo. “Bordar me motiva para poder sacar adelante a mi familia. No hay nada más hermoso.”",2,72,2329,2006,6
1.78819E+16,29/02/2020 16:38,6 Saturday,IMAGE,"Cambiemos México, una playera a la vez.",0,47,1140,1013,0
1.80946E+16,03/03/2020 12:44,2 Tuesday,IMAGE,"Este mes tendremos varias ventas, acompáñanos y compra una playera 100% mexicana, artesanal y con causa.",2,137,2641,1985,4
1.80267E+16,06/03/2020 11:25,5 Friday,IMAGE,Viste mexicano,0,119,1797,1478,5
1.78746E+16,19/03/2020 19:10,4 Thursday,IMAGE,"Hoy 19 de Marzo festejamos a todas las artesanas y artesanos de nuestro país. Principalmente queremos honrar a Antonia, Margarita, Reyna, Aurelia, Matilde, Tomasa y Angélica por sus increíbles bordados y todo el empeño y cariño que le ponen.",1,81,1634,1418,5
1.80998E+16,28/03/2020 19:39,6 Saturday,IMAGE,¡Ya contamos con envíos a toda la república! ¡No te quedes sin la tuya!,0,58,1511,1386,0
1.80821E+16,31/03/2020 15:17,2 Tuesday,IMAGE,"En estos tiempos difíciles para todos, apoyemos iniciativas locales que benefician a familias mexicanas.
Envíos a toda la república.",0,88,2148,1872,19
1.78454E+16,06/04/2020 18:26,1 Monday,IMAGE,Atrévete a crear nuevas aventuras.,2,60,1636,1450,7
1.81378E+16,12/04/2020 19:49,7 Sunday,IMAGE,"Saucillo, Hidalgo en el municipio de Actopan. Lugar de cactuses, magueyes, hermosos atardeceres y dónde se bordan con cariño y dedicación todas y cada una de las playeras de Xhindó.",0,62,2063,1855,6
1.79484E+16,14/04/2020 17:55,2 Tuesday,IMAGE,"En estos tiempos difíciles que estamos viviendo como país y humanidad, hoy más que nunca es importante ser solidarios, empáticos y ayudar a quienes más lo necesitan. 
Queremos invitarte a apoyar a aquellas iniciativas locales que se ven especialmente afectadas por la pandemia y que benefician a comunidades vulnerables.",1,79,1952,1707,4
1.81074E+16,18/04/2020 11:13,6 Saturday,IMAGE,"Trabajamos con artesanas mexicanas para ofrecer productos de calidad, únicos e irrepetibles y que además benefician directamente a comunidades vulnerables.",1,82,2022,1775,12
1.7934E+16,21/04/2020 19:31,2 Tuesday,IMAGE,"Encontramos un aliado estratégico, el talento.",1,91,1902,1657,11
1.78607E+16,23/04/2020 16:16,4 Thursday,IMAGE,Cada una de las playeras de Xhindó tiene un bordado hecho a mano único.,0,66,1622,1442,5
1.81258E+16,25/04/2020 18:19,6 Saturday,IMAGE,Una playera única.,0,103,2354,1985,2
1.78554E+16,28/04/2020 18:07,2 Tuesday,IMAGE,"En Xhindó somos auténticos, cada uno de los bordados de nuestras playeras es distinto a cualquier otro.",0,81,1238,1117,0
1.79469E+16,29/04/2020 13:26,3 Wednesday,IMAGE,"Si la playera que buscas no se encuentra disponible en nuestra página, envíanos un DM o un correo para producirla en nuestro siguiente lote.",0,48,1205,1039,1
